sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8178,Chevrolet,Niva    ,USA,Yekaterinburg,gasoline,manual,4WD,56000,80,1.7,8,890000
8179,Renault,Megane    ,FR,Yekaterinburg,gasoline,CVT,FWD,155000,114,1.6,11,570000
8180,Hyundai,Santa Fe   ,KR,Yekaterinburg,gasoline,automatic,FWD,38000,235,2,5,3650000
8181,Lifan,X50    ,CN,Yekaterinburg,gasoline,manual,FWD,124000,103,1.5,9,689000
8182,Chery,Tiggo 8 Pro Max ,CN,Yekaterinburg,gasoline,robot,4WD,18000,197,2,2,2990000
8183,Volkswagen,Amarok    ,DE,Yekaterinburg,diesel,automatic,4WD,118848,224,3,6,5500000
8184,Mercedes-Benz,GLE    ,DE,Yekaterinburg,gasoline,automatic,4WD,32600,258,2,4,10500000
8185,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,240000,89,1.6,19,169000
8186,Skoda,Rapid    ,CZ,Yekaterinburg,gasoline,robot,FWD,120000,125,1.4,7,1299196
8187,Hyundai,Accent    ,KR,Yekaterinburg,gasoline,manual,FWD,252000,102,1.5,16,470000
8188,Skoda,Octavia    ,CZ,Yekaterinburg,gasoline,manual,FWD,124000,110,1.6,4,1619000
8189,Kia,Rio    ,KR,Yekaterinburg,gasoline,automatic,FWD,9622,123,1.6,3,1755999
8190,Mazda,Mazda6    ,JP,Yekaterinburg,gasoline,manual,FWD,158000,120,1.8,13,919999
8191,Toyota,Corolla    ,JP,Yekaterinburg,gasoline,automatic,FWD,118000,124,1.6,12,1235000
8192,Chevrolet,Tahoe    ,USA,Yekaterinburg,gasoline,automatic,4WD,195900,409,6.2,9,2745000
8193,Kia,Rio    ,KR,Yekaterinburg,gasoline,automatic,FWD,92260,107,1.4,11,825999
8194,Skoda,Octavia    ,CZ,Yekaterinburg,gasoline,robot,FWD,98600,180,1.8,10,1275999
8195,EXEED,LX    ,CN,Yekaterinburg,gasoline,CVT,FWD,29000,147,1.5,2,2205999
8196,Mercedes-Benz,E-Class    ,DE,Yekaterinburg,diesel,automatic,4WD,50000,249,2.9,3,5655999
8197,Renault,Duster    ,FR,Yekaterinburg,gasoline,manual,4WD,10000,117,1.6,3,1875999
8198,BMW,X5    ,DE,Yekaterinburg,gasoline,automatic,4WD,171000,306,3,10,2755999
8199,Kia,Ceed    ,KR,Yekaterinburg,gasoline,manual,FWD,98000,129,1.6,9,955999
8200,Haval,Jolion    ,CN,Yekaterinburg,gasoline,robot,FWD,19000,143,1.5,1,1805999
8201,Volkswagen,Tiguan    ,DE,Yekaterinburg,gasoline,robot,FWD,195900,150,1.4,10,1135999
8202,Volkswagen,Touareg    ,DE,Yekaterinburg,diesel,automatic,4WD,283000,204,3,11,2110000
8203,Hyundai,Solaris    ,KR,Yekaterinburg,gasoline,manual,FWD,191500,123,1.6,10,759999
8204,Mercedes-Benz,M-Class    ,DE,Yekaterinburg,diesel,automatic,4WD,124150,249,3,10,2955000
8205,Kia,Ceed    ,KR,Yekaterinburg,gasoline,automatic,FWD,65700,130,1.6,7,1425999
8206,Nissan,Note    ,JP,Yekaterinburg,gasoline,manual,FWD,170000,88,1.4,13,630000
8207,Hyundai,ix35    ,KR,Yekaterinburg,diesel,manual,4WD,102000,136,2,13,1069999
8208,Kia,Sorento    ,KR,Yekaterinburg,diesel,automatic,FWD,64000,186,2,6,2699999
8209,Hyundai,Solaris    ,KR,Yekaterinburg,gasoline,automatic,FWD,53800,123,1.6,6,1399999
8210,Skoda,Octavia    ,CZ,Yekaterinburg,gasoline,robot,FWD,82000,150,1.4,7,1820000
8211,Mercedes-Benz,E-Class    ,DE,Yekaterinburg,gasoline,automatic,4WD,49000,197,2,3,5200000
8212,Toyota,Passo    ,JP,Yekaterinburg,gasoline,CVT,FWD,39000,69,1,6,1049000
8213,Mitsubishi,Outlander    ,JP,Yekaterinburg,gasoline,CVT,4WD,92600,146,2,9,1999000
8214,Mercedes-Benz,E-Class    ,DE,Yekaterinburg,gasoline,automatic,4WD,137000,272,3.5,13,1749000
8215,Hyundai,Getz    ,KR,Yekaterinburg,gasoline,manual,FWD,256000,97,1.4,18,479000
8216,Honda,Shuttle    ,JP,Yekaterinburg,hybrid,robot,FWD,93000,110,1.5,8,1565000
8217,Toyota,Camry    ,JP,Yekaterinburg,gasoline,automatic,FWD,15000,200,2.5,3,4300000
8218,Audi,Q5    ,DE,Yekaterinburg,gasoline,automatic,4WD,113500,225,2,10,2399000
8219,Toyota,Land Cruiser Prado  ,JP,Yekaterinburg,diesel,automatic,4WD,249065,177,2.8,8,3850000
8220,Renault,Megane    ,FR,Yekaterinburg,gasoline,automatic,FWD,143000,112,1.6,17,425000
8221,Volkswagen,Tiguan    ,DE,Yekaterinburg,gasoline,robot,FWD,104900,150,1.4,5,2239000
8222,Lada,2110,RUS,Barnaul,gasoline,manual,FWD,290133,89,1.6,19,243000
8223,Chevrolet,Lanos    ,USA,Yekaterinburg,gasoline,manual,FWD,215000,86,1.5,17,195000
8224,Kia,Ceed    ,KR,Yekaterinburg,gasoline,manual,FWD,239124,129,1.6,11,1150000
8225,Audi,A4    ,DE,Yekaterinburg,gasoline,CVT,FWD,250000,180,2,15,1150000
8226,Honda,N-BOX    ,JP,Yekaterinburg,gasoline,CVT,FWD,61000,58,0.7,5,1035999
8227,Kia,Carnival    ,KR,Yekaterinburg,diesel,automatic,FWD,92000,202,2.2,6,3650000
8228,Mercedes-Benz,GLE    ,DE,Yekaterinburg,diesel,automatic,4WD,118000,249,3,6,4850000
